Id,Intervention_id,Name,To_state_id,Sex_state_id,Race_state_id,Age_state_id,Adjustment_factor
0,0,control,39,34,31,44,1
1,0,control,39,34,31,45,1
2,0,control,39,34,31,46,1
3,0,control,39,34,31,47,1
4,0,control,39,34,31,48,1
5,0,control,39,34,31,49,1
6,0,control,39,34,31,50,1
7,0,control,39,34,31,51,1
8,0,control,39,34,31,52,1
9,0,control,39,34,31,53,1
10,0,control,39,34,31,54,1
11,0,control,39,34,31,55,1
12,0,control,39,34,31,56,1
13,0,control,39,34,31,57,1
14,0,control,39,34,31,58,1
15,0,control,39,34,31,59,1
16,0,control,39,34,31,60,1
17,0,control,39,34,31,61,1
18,0,control,39,34,31,62,1
19,0,control,39,34,31,63,1
20,0,control,39,34,31,64,1
21,0,control,39,34,31,65,1
22,0,control,39,34,31,66,1
23,0,control,39,34,31,67,1
24,0,control,39,34,31,68,1
25,0,control,39,34,31,69,1
26,0,control,39,34,31,70,1
27,0,control,39,34,31,71,1
28,0,control,39,34,31,72,1
29,0,control,39,34,31,73,1
30,0,control,39,34,31,74,1
31,0,control,39,34,31,75,1
32,0,control,39,34,31,76,1
33,0,control,39,34,31,77,1
34,0,control,39,34,31,78,1
35,0,control,39,34,31,79,1
36,0,control,39,34,31,80,1
37,0,control,39,34,31,81,1
38,0,control,39,34,31,82,1
39,0,control,39,34,31,83,1
40,0,control,39,34,31,84,1
41,0,control,39,34,31,85,1
42,0,control,39,34,31,86,1
43,0,control,39,34,31,87,1
44,0,control,39,34,31,88,1
45,0,control,39,34,31,89,1
46,0,control,39,34,31,90,1
47,0,control,39,34,31,91,1
48,0,control,39,34,31,92,1
49,0,control,39,34,31,93,1
50,0,control,39,34,31,94,1
51,0,control,39,34,31,95,1
52,0,control,39,34,31,96,1
53,0,control,39,34,31,97,1
54,0,control,39,34,31,98,1
55,0,control,39,34,31,99,1
56,0,control,39,34,31,100,1
57,0,control,39,34,31,101,1
58,0,control,39,34,31,102,1
59,0,control,39,34,31,103,1
60,0,control,39,34,31,104,1
61,0,control,39,34,31,105,1
62,0,control,39,34,31,106,1
63,0,control,39,34,31,107,1
64,0,control,39,34,31,108,1
65,0,control,39,34,31,109,1
66,0,control,39,34,31,110,1
67,0,control,39,34,31,111,1
68,0,control,39,34,31,112,1
69,0,control,39,34,31,113,1
70,0,control,39,34,31,114,1
71,0,control,39,34,31,115,1
72,0,control,39,34,31,116,1
73,0,control,39,34,31,117,1
74,0,control,39,34,31,118,1
75,0,control,39,34,31,119,1
76,0,control,39,34,31,120,1
77,0,control,39,34,31,121,1
78,0,control,39,34,31,122,1
79,0,control,39,34,31,123,1
80,0,control,39,34,31,124,1
81,0,control,39,34,31,125,1
82,0,control,39,34,31,126,1
83,0,control,39,34,31,127,1
84,0,control,39,34,31,128,1
85,0,control,39,34,31,129,1
86,0,control,39,34,31,130,1
87,0,control,39,34,31,131,1
88,0,control,39,34,31,132,1
89,0,control,39,34,31,133,1
90,0,control,39,34,31,134,1
91,0,control,39,34,29,44,1
92,0,control,39,34,29,45,1
93,0,control,39,34,29,46,1
94,0,control,39,34,29,47,1
95,0,control,39,34,29,48,1
96,0,control,39,34,29,49,1
97,0,control,39,34,29,50,1
98,0,control,39,34,29,51,1
99,0,control,39,34,29,52,1
100,0,control,39,34,29,53,1
101,0,control,39,34,29,54,1
102,0,control,39,34,29,55,1
103,0,control,39,34,29,56,1
104,0,control,39,34,29,57,1
105,0,control,39,34,29,58,1
106,0,control,39,34,29,59,1
107,0,control,39,34,29,60,1
